"id","time","view","title","from_user","text","WoC","PROBLEMS","COMP","COMP2","SCI","Justification"
46,"02/05/2013 12:24:32","Welcome 6A","Answer Juli Arias","u21","According with wikipedia the population begins to increase since the last 50 years","E",,,,,
47,"02/05/2013 12:22:38","Welcome 6A","Answer","u22","The effects of this overpopulation are that we have more poverty, crime, disease, and environmental problems such as increased global warming, and natural disasters.","T",,1,1,3,"P"
48,"02/05/2013 12:29:15","Welcome 6A","imposible to find it ","u26","The thing is that is imposible to find the exact population in a place because per minute someone die or born, so it is difficult to find it.  ","T",,3,2,2,"P"
49,"02/05/2013 12:31:31","Welcome 6A","Answer ","u19","Because they have a higher reproduction capacity","T",,1,1,1,"P"
50,"02/05/2013 12:22:34","Welcome 6A","(less population)","u18","Why does it exist OVER POPULATION and it doesent exist a (less population)","Q","E",,,,
51,"02/05/2013 12:21:27","Welcome 6A","About animals","u5","How many animals are born per minute?","Q","F",,,,
52,"02/05/2013 12:23:21","Welcome 6A","Answer","u10","I think overpopulation is a problem that in a couple of years we will start caring of. The increase of diseases and Co2 are the principal problems of this phenomenon, and maybe in some years there will not be enough resources to sustain life.","T",,3,1,2,"P"
53,"02/05/2013 12:31:03","Welcome 6A","Type of animals","u5","On dogs and on fishes","D",,,,,
54,"02/05/2013 12:27:16","Welcome 6A","Which animals??","u11","It depends on which animals do you want to know???","D",,,,,
55,"02/05/2013 12:25:21","Welcome 6A","Overpopulation Effects. Answer to Laura's Question.","u27","The increasing population has many consecuences! First of all, it affects the environment. People excrete wastes and this contaminates water currents, leading to people that can't drink it due to its contamination levels, or can't either bathe or brush their teeth. Besides, forests are being cut off since the need of space for our expanding popoulation. Global warming is another problem, since more people cause more greenhouse gases which lead to the greenhouse effect,the heating of Earth, and the polution of air, causing diseases. Cities gorwth rate will make people torn down forest, and this will end habitats, which will end by the extinction of species. According to http://geojoedr.tripod.com/id3.html ,this urban expansion deplete the Earth's resources, in Africa, 2 billion hectares of arable land have already been lost.This page says: ""In Nigeria alone, 351,000 ha of land are being removed every year."" In terms of economy, resources will not be enough for everyone, and probably to prevent starvation, tthe affected country will rely in foreign resources, putting itself on debt. There will be a lot of unemployment, since there are not enough jobs to support the population, and this will lead people to steal in order to survive. I hope this has been useful for you. :)","T",,4,2,3,"G"
56,"02/05/2013 12:29:37","Welcome 6A","answer to alejandro ","u13","alejandro the less popullation is call extintion.","D",,,,,
57,"02/05/2013 12:31:24","Welcome 6A","Interactions between organisms answer to Ana Maria Velasco","u6","The name of the interactions between different organisms is called symbiotic relationship. This big class contains: parasitism, mutualism, commensalism and amensalism. There are differences between all this subclasses. For example: in parasitism the parasites are somewhat like a predator so it gets benefict while the host is weakened meanwhile the mutualism is when many species depend on another for survival, they all get beneficts. So, this interactions can affect the growth rate. For example: in parasitism, the growth rate of the host will decrease but the growth rate of parasites will increase because  what it´s doing favourates it. ","E",,,,,
58,"02/05/2013 12:36:24","Welcome 6A","babies born each dayyyyyy","u23","there are 384 thousand born each day and each minute 267 are born","E",,,,,
59,"02/05/2013 12:38:21","Welcome 6A","how many animals","u23","how many animals die each minute??","Q","F",,,,
60,"02/05/2013 12:29:24","Welcome 6A","reproduction","u16","why the humans have the ""nesecity"" of reproduction?","Q","E",,,,
61,"02/05/2013 12:29:51","Welcome 6A","Answer Valentina","u21","I think that is very dificult to know the solution of stoping overpopulation, but if we want to stop a little parto of overpopulation we have to teach people how bad is overpopulation and his causes","T",,1,1,2,"P"
62,"02/05/2013 12:29:05","Welcome 6A","My opinon ","u11","I think that is that the if more people are born, more resourses are used and more space is consumed ","T",,2,1,2,"P"
63,"02/05/2013 12:33:02","Welcome 6A","answer","u24","that is impossible to know :) ","D",,,,,
64,"02/05/2013 12:29:24","Welcome 6A","Better Education","u28","According to: Global Health Review (Harvard College), one way to prevent Over Population is to give the women a better education and explain the problem of Over Population.","E",,,,,
65,"02/05/2013 12:36:57","Welcome 6A","Answer to Valentina","u9","It will sound ware but stop reproducting
Hope it helps you","D",,,,,
66,"02/05/2013 12:33:28","Welcome 6A","About animals birth","u22","There are about 200 to 300 babies per second that are born so, 200×60= 12,000 babies per minute. ","E",,,,,
67,"02/05/2013 12:31:53","Welcome 6A","sara ","u16","but sara seens the begining of the time the humans have the nesecity to reproduct and the schools that teach that are really a little cuantity! tho you think in El codito they teach that? OR IN OTHER POOR SCHOOLS !!!!!!","T",,3,2,3,"P"
68,"02/05/2013 12:35:14","Welcome 6A","maca","u16","BUT the half of world schools don´t do that","D",,,,,
69,"02/05/2013 12:34:23","Welcome 6A","limit of babies in a chinese family","u21","How many babies can have a chinese family? Why?","Q","E",,,,
70,"02/05/2013 12:32:55","Welcome 6A","answer to why some animals have babies and die-alejandro posada","u8","I think that is because all the nutrients, power, minerals, air and food the mamis mamis have they give it to the baby so that it can born strong and well formed.
I also think that is because mamis are very stress at the moment in wich they are going to have the babies so that they die.","T",,1,1,1,"P"
71,"02/05/2013 12:48:20","Welcome 6A","thanks","u24","	Thanks nicolas for correcting my answer","D",,,,,
72,"02/05/2013 12:35:38","Welcome 6A","perilla","u11","Yes, but its just my opinion, if you want to investigate you can do it by your own","D",,,,,
73,"02/05/2013 12:40:20","Welcome 6A","one baby","u11","Im not really sure, but I think they just can have one baby because they have to much overpopulation so they need to reduce it in any way.","T",,2,2,3,"G"
74,"02/05/2013 12:47:06","Welcome 6A","SARA","u16","that would be posible, but even the schools teach that only 2 of 10 would pay atention, in the way the humans like always have need and like want sexual relationships","T",,2,1,2,"P"
75,"02/05/2013 12:39:24","Welcome 6A","Other Opinion","u21","When I search what is the place with larguest population i found tha is Beijing, China with 1,343,239,923","E",,,,,
76,"02/05/2013 12:38:54","Welcome 6A","Biggest Population","u28","According to: Internet World Stats, is China, with 1,343,239.923 people","E",,,,,
77,"02/05/2013 12:43:17","Welcome 6A","answer for juan felipe gomez","u13","it´s imposible to know because for that we have to know how many babies born an how many people dies","T",,2,2,2,"P"
78,"02/05/2013 12:46:18","Welcome 6A","Population of Thailand.","u22","What is the population of Thailand? ","Q","F",,,,
79,"02/05/2013 12:49:48","Welcome 6A","????????????","u9","How many people do you think is born at the day","Q","F",,,,
80,"02/05/2013 12:44:02","Welcome 6A","Ostos","u28","But we can do something to do that does schools star teaching that to the children, we can do like a campaign, or something like that","D",,,,,
81,"02/05/2013 12:45:32","Welcome 6A","Also in disagree with Nicolas Ostos","u21","I am not agree with Ostos because the educacion give us a lot of ideas to change the problems that pass in our world and is not a matter if you explain what are the causes of overpopulation to a little comunity because with little things you make big changes","T",,3,2,3,"P"
82,"02/05/2013 12:51:36","Welcome 6A","OSTOS","u28","But if some people understand and do this, there will be a change on the population reproduction","D",,,,,
83,"02/05/2013 12:51:24","Welcome 6A","shuaqhs","u16","also the teach that the humans will reproduce ","D",,,,,
84,"02/05/2013 12:47:49","Welcome 6A","Solution ","u6","But that´s why we must teach poor children for them not to do that in the future. There are volunteers who can do that","T",,2,,3,"P"
85,"02/05/2013 12:51:06","Welcome 6A","People in thailand","u5","In 2012 there were aproximatedly  65,479,453","E",,,,,
96,"02/20/2013 19:49:40","Welcome 6A","Conclusion of this Discussion","u27","I agree with Maria Camila, Valeria, and Sara. To complete this conclusion, I would say that education is needed to reduce the number of births per day, not only in women, but in men. Eventually, human population will return to its normal carrying capacity, so resources will not finish, but this will take a lot of time. ","T",,3,3,2,"P"
99,"02/24/2013 20:53:40","Welcome 6A","Africa has more population","u17","I investigated and Africa still has more population than America.","E",,,,,
152,"03/18/2013 18:56:57","Welcome 6A","Answer","u12","{[My Theory]:}  because the humans and animals are of different species if you see as we are mammals and some animals also they're similar in the reproductive potential and for example fish is from another specie and they have a different reproductive potnetial as we have see on class","T",,3,2,4,"G"
153,"03/18/2013 19:07:52","Welcome 6A","Answer","u12","I think as Ana Maria said humans can't reproduce in a big quatity because that would increase the overpopulation that is already, but also they can't stop reproducing cause it would make extinction, i think animals have a life range very short so they need to reproduce so much because they want to prevent extinction.","T",,3,1,2,"G"
86,"02/06/2013 12:07:37","Inquiry Step 2","title","u30"," (Criterion: )

 (Criterion: how populations of different species interact)

 (Criterion: to understand how poplation reduces.)

[[I s there more population in all africa or in south america][from 897]][[How does overpopulation relate to a natural selection?][from 2828]][[Usually, organisms try to maintain a balance between reproduction and death.][from 921]]",,,,,,
87,"02/06/2013 12:49:36","Inquiry Step 2","Consequeces of Overpopulation","u6","{[We used to think]: at the beginning that we won´t have enough resorces in the future if population keeps on increasing. }  
{[We found]: that overpopulation causes pollution and contaminates the environment and the natural resources that are needed for life. } 
{[Now we think]: that overpopulation will affect in a terrible way the Earth because everyday human population is increasing and in the future there will be a really small quantity of things that are really necessary for life. We must find a solution soon for this problem and for it to stop making an impact in the environment. }
{[Next we will]: continue researching for information about the consequences of overpopulation an their posible solutions. }  
 (Criterion: Why increasing population has consequences)

 (Criterion: consquences of encreasing population.)

 (Criterion: )

 (Criterion: what is the problem of encreasing population)

 (Criterion: overpopulation)

[[it affects the environment][from 3203]][[People excrete wastes and this contaminates water currents, leading to people that can't drink it due to its contamination levels, or can't either bathe or brush their teeth.][from 3203]][[I think overpopulation is a problem that in a couple of years we will start caring of. The increase of diseases and Co2 are the principal problems of this phenomenon, and maybe in some years there will not be enough resources to sustain life.][from 3118]][[An increasing population can be attributed to several variables.][from 2978]][[but the thing is not really about space, In my opinion the bad side of overpopulation are the resorces, they can get stinguish in any moments and is because the human are use in it in a disgusting way!!][from 2460]]","S",,,,,
88,"02/06/2013 12:57:53","Inquiry Step 2","Over population in natural selection","u26","{[We{[New{[My Theory]:  }information]:  }used to think]:  }That there are many species on the world with a lot of babies that we don't know how many there are ,so I am going to say some species that reproduce a lot of babies.
  I found the seahorse. The male reproduce 1,500 eggs and after 45 days the babies seahorses fully developed and they start there own lifes.
The sharks reproduce bewteen 100 and 200 eggs but they need very good resources for have that number of eggs and they maturity of sexual are bewteen 13 and 15 years.
  is that we can´t have an excact answer for what specie is the one that have more babies we can separated by groups of type like amphibius, reptiles, mammals, fishes etc. then we could find what is the specie that have more babies in his own group. 

 (Criterion: how populations increase or decrease)

 (Criterion: )
[[What is the specie that has more babys in all their live in the world][from 2524]][[that is impossible to know :)][from 3362]]","S",,,,,
89,"02/06/2013 12:44:05","Inquiry Step 2"," Overpopulation","u10","{[We used to think]: The only problem of overpopulation was the increase of people in a certain area } 
{[We found]: That the increase of people will cause a disminution of resources and a increase of Co2 and diseases } 
{[Now we think]: We should start taking this seriously and think in what will happen in future because if this continues, maybe there will be not sufficient resources to mantain life and the air we breath actually, later will be toxic  }  
{[Next we will]: Search for more consequences of this phenomenon and solutions to stop it } 



  (Criterion: Overpopulation  )

 (Criterion: Overpopulation)

[[I think overpopulation is a problem that in a couple of years we will start caring of. The increase of diseases and Co2 are the principal problems of this phenomenon, and maybe in some years there will not be enough resources to sustain life.][from 3118]][[What do you think about the overpopulation?][from 1111]]","S",,,,,
90,"02/06/2013 12:43:47","Inquiry Step 2","OVERPOPULATION","u16","{[We used to think]: :that the overpopulation is really bad because with more people in the
 earth the resources such as wood, eaten animals, water, etc.... would be
estinguish.  } 
{[We found]: :People excrete wastes and this contaminates water currents, leading to people that
 can't drink it due to its contamination levels, or can't either bathe or brush their teeth. } 
{[Now we think]: :that the overpopulation is really bad because with more people in the
 earth the resources such as wood, eaten animals, water, etc.... would be
estinguish and People excrete wastes and this contaminates water currents, leading to people that
 can't drink it due to its contamination levels, or can't either bathe or brush their teeth } 
{[Next we will]: : help reduce it. } 
 (Criterion: Why increasing population has consequences)

 (Criterion: consquences of encreasing population.)

 (Criterion: overpopulation)

 (Criterion: overpopulation)

[[it affects the environment][from 3203]][[People excrete wastes and this contaminates water currents, leading to people that can't drink it due to its contamination levels, or can't either bathe or brush their teeth.][from 3203]][[but the thing is not really about space, In my opinion the bad side of overpopulation are the resorces, they can get stinguish in any moments and is because the human are use in it in a disgusting way!!][from 2460]][[What do you think about the overpopulation?][from 1111]]","S",,,,,
91,"02/06/2013 12:51:02","Inquiry Step 2","Overpopulation","u3","
 {[We used to think]: that overpopulation was an excess of people in the world. } We found that overpopulation is when a city doesnt have enough space to contain all the people and the natural resources are ending.        (Criterion: how populations increase or decrease)

 (Criterion: Why increasing population has consequences)

 (Criterion: )

 (Criterion: to understand how poplation reduces.)

 (Criterion: overpopulation)

  Now we think that overpopulation is when a city doesnt have enough space to contain all the people and the resources are ending.[[What is the specie that has more babys in all their live in the world][from 2524]][[it affects the environment][from 3203]][[I think overpopulation is a problem that in a couple of years we will start caring of. The increase of diseases and Co2 are the principal problems of this phenomenon, and maybe in some years there will not be enough resources to sustain life.][from 3118]][[Usually, organisms try to maintain a balance between reproduction and death.][from 921]][[but the thing is not really about space, In my opinion the bad side of overpopulation are the resorces, they can get stinguish in any moments and is because the human are use in it in a disgusting way!!][from 2460]]","S",,,,,
92,"02/06/2013 12:45:34","Inquiry Step 2","Difference in Animal and Human Reproductive Capacity","u14","{[We used to think]: that fish was the animal which had the greatest reproductive capacity.  }

  (Criterion: how populations increase or decrease)

 (Criterion: how populations of different species interact)

 (Criterion: differences of reproduction)

[[What is the specie that has more babys in all their live in the world][from 2524]][[hy animals have different reproductive potential?][from 491]][[why humans cant have many babies][from 1137]]","S",,,,,
93,"02/06/2013 13:03:16","Inquiry Step 2","birthrate and population","u21","{[We used to think]: that of the overpopulation of China, a chinese family have a limit if kids, and if they have more kinds they will assume some consequences}
{[We found]: that a chinese family only can have one baby and if they have more they will pay more taxes to the goverment and the second kid will not have rights in shorts words it will be someone like doesn´t exist. It restricts urban couples to only one child, while allowing additional children in several cases, including twins, rural couples, ethnic minorities, and couples who are both only children themselves. Other thing that we found that is not so important is that the girs are discriminated from the China society. For example, A girl born in a Chinese family, most of families those admitted to an orphanage. This law was maded to protect the resources.}
{[Now we think]: two critical options. the first one is that this law is injusted because they dont have the liberty to have all the kids the want to love. But the other the law have to stay in China bacause thay are so many persons in that country that the resources are almost finished and spent. Also we think that  this problem start  because the people  were inexperted to know what wpold happen with overpopulation, and that the solution for this problem is the education and helpping our community because with small acts we crate big changes.}
{[Next we will]: searching for mor information and news of what is the progress of China with the over population, and teaching people for understand what are the consecuenses of overpopultion.}



 (Criterion: how populations increase or decrease)

 (Criterion: Difference in Quantity between Borns and Deaths)

 (Criterion: differences of reproduction)

[[How many babies can have a chinese family? Why][from 3509]][[How and why can be more babies per minute borned, than old people death?][from 2646]][[why humans cant have many babies][from 1137]][[][from 7045]]","S",,,,,
94,"02/06/2013 13:10:47","Inquiry Step 2","babies","u12,u5,u24"," (Criterion: how populations increase or decrease)

 (Criterion: to understand how poplation reduces.)


[[What is the specie that has more babys in all their live in the world][from 2524]][[Usually, organisms try to maintain a balance between reproduction and death.][from 921]]",,,,,,
95,"02/06/2013 13:10:16","Inquiry Step 2","Population Balance","u27","{[We used to think]: that species who preserved for a long time had less babies than the ones who preserved for a short time had more because of no special reason. } 
{[We found]: that organisms must maintain a balance between reproduction and death and, therefore, if a species lives longer, it must have few babies, because if not, there will be overpopulation, but if it lives shorter, it must have many babies, to prevent extinction. } 
{[Now we think]: that organisms keep a balance between newborns and death. } 
{[Next we will]: search for more information about population dynamics, to know exactly how many organisms should a species have, or how a species gets to extinction. } 
 (Criterion: Population Balance)

 (Criterion: Difference in Quantity between Borns and Deaths)

 (Criterion: populuation balance)

 [[Usually, organisms try to maintain a balance between reproduction and death][from 921]][[How and why can be more babies per minute borned, than old people death?][from 2646]][[Since we are an species who preserves for a long time, we must maintain a balance between reproduction and death.][from 1082]]","S",,,,,
97,"02/24/2013 19:14:18","Inquiry Step 2","Meaning Over Population","u6","Acording to the web page http://encyclopedia.kids.net.au/page/ov/Overpopulation, ""Overpopulation is a condition in which some population can, under certain circumstances, grow so large or dense that it exceeds the biological carrying capacity of its containing natural ecological system and thus will naturally reduce in numbers through famine, and lack of essential resources."" (famine is lack of food""
This could help you to build a better ""Now we think..."" answer  ","E",,,,,
98,"02/24/2013 19:23:37","Inquiry Step 2","Overpopulation and Solutions","u6","So, in other words you are saying that overpopulation causes that resources decrease in a way that the humanity will get affected in a severe way.
I found some ways to reduce overpopulation:(according to the web page http://www.buzzle.com/articles/overpopulation-solutions-to-overpopulation.html)
1. Education
2. Family planning
3. Tax concessions
","E",,,,,
100,"02/27/2013 12:17:14","Inquiry Step 2","Why little change even with solutions?","u32","{[I need to understand]:}This is really helpful for me. However, why the situation has not changed even though we know some solutions?
","Q","E",,,,
101,"02/28/2013 17:30:15","Inquiry Step 2","Daniel Reales","u19","{[We used to think]: that resources will not be enough for all the population } 
{[We found]:  that overpopulation is a really bad problem and for example in china they only can have 1 baby to help reducing it } 
{[Now we think]: that overpopulation is a really serious problem because there would be a point in which we would like reach a point  population will start to decrease in a significant way for lack of resources } 
{[Next we will]: continue investigating to continue gathering ideas.  } ","S",,,,,
102,"02/28/2013 17:56:31","Inquiry Step 2","overpopulation","u28","The overpopulatio affects many things, like in: economy, enviorment and politic.
ECONOMY: It is affected because the country dont have enough food to support themself.
ENVIORMENT: It is affected because every person needs space and also we need to have space for the forest and for farms. The waste that we produce ande need to expand cities cause that the animals and the water get affect.
POLITICS:It affects becaause they are many fights for many things for the farmland.   
One possible sollution for the consequence of overpopulation is to teach in the schools the pronlem that cause the over population.","T",,4,2,3,"P"
103,"02/28/2013 17:42:31","Inquiry Step 2","Overpopulation","u5","{[We used to think]: that the overpopulation was bad but no so bad. They over population is killing our planet. Some people are making that the over population increase and increase and increase. } 
{[We found]: that many people in this world that do not have the same education as us have many many babies and that is very bad because that is making that the over population increase. In some places is so large the population that is China they forbid to have more than 1 baby. Some other people are throwing many garbage into the for and that is making that the space in the earth start to decrease. } 
{[Now we think]: that the over population is a very bad thing that we have to solve in the planet because if not in the future there will be a very little space and we are not going to have the same things that we have now. } 
{[Next we will]: help the people that are wrong by having so much kids and give a part of our help to make the planet a better way } ","S",,,,,
104,"02/28/2013 18:39:37","Inquiry Step 2","Answer for Bodongchen (Laura Sanchez)","u25","Why the situation has not change even though we know some solutions?
Because sometimes the people dont care and think that nothing would happens in years also people sometimes can not do id or people dont belive in overpopulation.","Q","E",1,1,2,"P"
105,"02/28/2013 18:59:09","Inquiry Step 2","Overpopulation(answer for Maria Camila}","u25","What you are saying is that first it will affect the aconomy because there will not be enough resources to  people live. Second that it affects ts the enviorment because we will not have enough space to live.
In conclusion overpopulation affects because we will not have enough resources to live and we will die quikly.","S",,,,,
106,"02/28/2013 19:27:12","Inquiry Step 2","A Way to Prevent Overpopulation","u27","{[We used to think]:  that overpopulation couldn't be stopped now that it has started. }
 {[We found]: that a way to prevent overpopulation is to provide education for women and men for them to learn about the overpopulation problem and to plan their lives; to reduce the number or unexpected births and, therefore, reduce overpopulation.    }
{[Now we think]:  that there are ways to prevent overpopulation nd to reduce it, such as this one, which is based on a global health review made by Harvard College. }      
{[Next we will]: search about more solutions for overpopulations, besides this one.  } 



 (Criterion: Ways to prevent overpopulation.)

 (Criterion: Ways to prevent overpopulation)

[[I agree with Maria Camila, Valeria, and Sara. To complete this conclusion, I would say that education is needed to reduce the number of births per day, not only in women, but in men. Eventually, human population will return to its normal carrying capacity, so resources will not finish, but this will take a lot of time.][from 6021]][[According to: Global Health Review (Harvard College), one way to prevent Over Population is to give the women a better education and explain the problem of Over Population.][from 3368]]","S",,,,,
107,"02/28/2013 19:26:30","Inquiry Step 2","OVERPOPULATION","u28"," {[We used to think]: that the overpopulation only affect the enviorment because we produce many waste. }  
{[We found]:  that the overpopulation cause many problems in the enviorment, with the economy and in the politics. The overpopulation destroy the forest and finish with the animals life } 
{[Now we think]: that the over population is a big problem that affects not only the enviorment.Overpopulation affcet us because there will be no resources. }
 {[Next we will]: search how we can solve or help to prevent the consequence of the overpopulation. } ","S",,,,,
108,"03/01/2013 08:20:13","Inquiry Step 2","Carryng Capacity Of  The Humans It Is Not a Big Problem","u16","Some people say that we are near to exceed the carrying capacity because there are many people having babies.
I think there is more quantity in the poor zones but that don´t affects so much because it not mistery that a really big quantity of the world it form the trachs and can and they it one a week so they don´t take as so much resources!","T",,2,1,2,"P"
109,"03/01/2013 08:22:20","Inquiry Step 2","Answer to bodong","u11","Also people think that problems occur in other places that are not near and they don´t care","D",,,,,
110,"03/01/2013 08:22:21","Inquiry Step 2","A BIG PROBLEMMMMM","u9","Big industries like Ford, Kia, Toyota. This industries are using fossil fuels and this ones are producing many global warming. This is causing many deterioration in the ozone layer so this goes making some holes in it so by this way the sun radiation comes in and it goes making that we have less protection to our skin. We can reduce this by going walking, electric cars or other devices that don't use minerals.","T",,4,2,3,"G"
